traj	n_patients	bootstrap_support
R03->I10->E66	1747	1
R03->I10->R05	1431	1
E66->R74->K76	1195	1
K04->K02->K08	1181	1
R73->E11->E66	1130	1
M79->M75->R10	1122	1
I10->R73->E11	1060	1
R03->I10->F41	973	1
N39->N76->B37	906	1
J20->N39->J22	898	1
R07->F41->M79	891	1
R07->F41->M25	874	1
F41->M79->M77	873	1
M79->M75->R42	873	1
R42->F41->M25	872	1
R07->M79->M77	861	1
M25->M75->R10	855	1
R07->M79->M75	851	1
R42->F41->M79	850	1
R42->F41->N39	850	1
F41->M79->M75	846	1
M79->M77->M75	832	1
R10->K29->F41	814	1
I10->E11->E66	812	1
I10->R74->K76	812	1
M79->M77->R05	807	1
F41->N39->B37	799	1
R07->R05->J22	796	1
R10->K29->B96	793	1
R07->F41->N39	778	1
I48->I50->N18	767	1
R10->K30->B96	740	1
N30->N39->B37	739	1
M79->M77->R42	731	1
R03->I10->R73	729	1
M25->R74->K76	722	1
F41->M25->M77	707	1
R42->F41->F32	707	1
F41->N39->J22	702	1
M79->M77->L30	702	1
R10->K29->N39	701	1
N39->L29->B37	694	1
R10->N23->N20	694	1
R03->I10->R63	685	1
H10->M79->M77	684	1
F41->M25->M75	665	1
R07->M79->J22	664	1
F41->M79->J22	663	1
F41->M25->J22	658	1
M79->M75->L30	657	1
D50->N92->D25	655	1
R06->I50->N18	654	1
F51->F41->M25	648	1
M25->M77->M75	646	1
R03->I10->E11	645	1
J20->J40->J45	642	1
H61->H60->H66	640	1
H10->M79->M75	632	1
F51->F41->F32	628	1
F41->K04->K08	627	1
B34->R05->J22	626	1
J20->J30->J45	619	1
R10->R74->K76	612	1
F41->N39->N76	605	1
F51->F41->M79	605	1
R07->M79->L30	604	1
R10->R20->G56	604	1
M25->M75->R42	600	1
R53->F41->M25	600	1
F41->M25->M17	597	1
I10->R05->J22	593	1
J20->J22->J18	592	1
F51->F41->N39	583	1
J20->R06->I50	579	1
H10->M79->J22	576	1
R53->F41->M79	576	1
M25->M77->R42	574	1
R07->F41->F32	574	1
N39->J22->B37	573	1
J20->R06->J45	570	1
N39->B37->L30	570	1
J20->F41->M79	569	1
R07->F41->J22	565	1
F41->N39->L30	564	1
F41->R20->G56	563	1
M25->M77->R05	559	1
R05->J22->J18	557	1
R10->K29->R42	554	1
F41->M25->L30	552	1
F41->M25->K08	550	1
J20->F41->M25	549	1
B34->J20->J22	547	1
H61->H91->M25	547	1
N39->R31->C67	545	1
R42->F41->J22	544	1
J20->F41->N39	543	1
F41->M79->L30	542	1
I10->F41->F32	542	1
J20->R42->J22	541	1
K05->K02->K08	537	1
N39->N76->L29	537	1
N30->N39->N76	535	1
R10->K30->K29	533	1
F41->R74->K76	532	1
R10->K62->I84	529	1
F51->R05->J22	528	1
I10->F41->N39	528	1
J20->R06->J44	527	1
H10->M79->L30	526	1
J20->F41->J22	525	1
R53->F41->N39	523	1
R10->B96->B37	521	1
K04->K02->R10	519	1
K05->K04->K08	519	1
R03->I10->K76	517	1
N76->L29->B37	512	1
F41->N39->L29	511	1
J20->J22->J44	511	1
B34->M79->M77	508	1
I10->F41->M25	508	1
R42->R51->N39	506	1
R53->F41->F32	506	1
B34->F41->M25	505	1
M25->M75->L30	499	1
R07->M79->K08	499	1
K02->R10->K08	498	1
N30->N39->J22	497	1
J20->F41->F32	494	1
F41->M79->K08	490	1
M25->M77->L30	486	1
R10->K59->J22	486	1
R03->I10->R74	485	1
M62->M79->M77	484	1
B34->F41->M79	483	1
H61->H60->M79	483	1
M79->M75->H54	476	1
B34->R42->F41	475	1
N39->J22->J18	475	1
F17->R74->K76	474	1
R07->R20->G56	473	1
F41->N39->K08	472	1
B34->F41->F32	471	1
M25->M17->S83	471	1
M25->S83->M23	469	1
B34->F41->N39	467	1
R51->G43->R10	467	1
M62->M79->M75	464	1
R05->J22->B37	464	1
F17->R73->E11	461	1
F51->F41->J22	460	1
J20->R42->F41	455	1
R42->F41->H61	451	1
R50->R05->J22	451	1
R07->F41->H61	449	1
R07->F41->K08	449	1
B34->R10->B96	446	1
N30->N39->L30	446	1
H60->H66->H92	444	1
I10->F41->M79	443	1
R07->R74->K76	441	1
B34->R10->J22	440	1
R03->R74->K76	440	1
B34->M79->M75	439	1
R11->R10->K29	439	1
F41->L29->B37	438	1
J20->R06->E66	438	1
R10->R74->K80	438	1
M77->M75->R10	436	1
J20->N39->B37	435	1
R03->I10->E79	435	1
R50->J20->J22	434	1
H61->H60->H91	433	1
J20->J22->B37	432	1
R05->R06->I50	430	1
F41->N76->B37	425	1
H10->K04->K08	424	1
M79->M75->R06	423	1
M25->J22->B37	422	1
M79->M77->M72	422	1
R07->R05->J40	421	1
R10->J22->B37	419	1
M25->J22->J18	416	1
R11->R10->B96	415	1
F41->F32->F43	414	1
R03->R73->E11	414	1
B34->R10->K29	413	1
B34->R10->L30	413	1
H10->R50->R05	412	1
N30->N39->L29	412	1
M75->R42->F41	410	1
I10->E66->K76	409	1
B34->M79->J22	408	1
B34->R53->F41	408	1
R51->G43->F41	407	1
R51->N39->B37	407	1
I10->E66->E79	406	1
M75->R10->K80	406	1
R10->J22->J18	406	1
J20->N39->L30	405	1
M25->M17->M23	404	1
R07->I21->I25	404	1
R42->F41->M77	404	1
R73->E11->K76	403	1
R05->J40->J45	401	1
H10->M79->K08	400	1
R05->R06->E66	400	1
H91->M25->M17	399	1
R07->I20->I25	399	1
B34->R05->J30	396	1
M77->R05->J22	396	1
R10->K59->I84	396	1
